employee,total_liked,total_disliked,total_comments,avg_comment_len,likes_received,dislikes_received,companyAlias,numVotes,stillExists,days_since_last_activity,avg_vote,likeability,dislikeability,social_index,num_emp,com_total_comments,com_avg_comment_len,com_total_likes,com_total_dislikes,com_total_votes,com_avg_vote,relative_happiness
0_-2,3,0,0.0,0.0,0.0,0.0,0,0,0,61,0.0,0.0,0.0,0.6000000000000001,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.0
0_-4,4,2,22.0,54.0,116.0,46.0,0,0,0,133,0.0,0.72,0.28,7.8,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.0
0_-6,2,0,0.0,0.0,0.0,0.0,0,0,0,146,0.0,0.0,0.0,0.4,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.0
0_10,29,6,6.0,86.0,16.0,20.0,0,56,1,10,3.0,0.44,0.56,36.8,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_100,288,2,60.0,64.0,326.0,50.0,0,187,1,0,4.0,0.87,0.13,169.5,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_101,932,282,22.0,51.0,116.0,18.0,0,312,1,0,3.0,0.87,0.13,405.4,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_102,209,114,32.0,145.0,418.0,104.0,0,245,1,0,4.0,0.8,0.2,196.7,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_103,215,39,56.0,76.0,334.0,74.0,0,201,1,0,4.0,0.82,0.18,168.1,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_104,30,5,16.0,36.0,98.0,12.0,0,35,1,257,4.0,0.89,0.11,29.3,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_105,59,4,12.0,47.0,62.0,16.0,0,77,1,4,3.0,0.79,0.21,54.7,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_107,61,14,34.0,60.0,216.0,24.0,0,205,1,3,3.0,0.9,0.1,127.7,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_108,102,11,72.0,43.0,382.0,78.0,0,82,1,4,3.0,0.83,0.17,85.19999999999999,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_109,1,0,0.0,0.0,0.0,0.0,0,1,1,196,4.0,0.0,0.0,0.7,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_11,23,2,18.0,38.0,82.0,4.0,0,11,1,256,3.0,0.95,0.05,15.899999999999999,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_114,455,264,262.0,84.0,1128.0,868.0,0,180,1,6,1.0,0.57,0.43,312.4,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.33
0_115,4,1,0.0,0.0,0.0,0.0,0,2,1,286,2.0,0.0,0.0,2.0,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.67
0_116,191,57,24.0,90.0,202.0,52.0,0,118,1,0,4.0,0.8,0.2,115.80000000000001,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_117,31,1,6.0,40.0,12.0,2.0,0,87,1,14,3.0,0.86,0.14,51.699999999999996,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_119,198,21,84.0,74.0,716.0,146.0,0,64,1,3,4.0,0.83,0.17,101.0,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_12,67,29,58.0,85.0,242.0,118.0,0,69,1,14,3.0,0.67,0.33,71.1,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_122,76,17,42.0,49.0,346.0,68.0,0,57,1,6,2.0,0.84,0.16,59.7,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.67
0_123,2,0,14.0,31.0,58.0,20.0,0,11,1,224,3.0,0.74,0.26,10.1,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_124,699,291,344.0,45.0,1360.0,656.0,0,235,1,0,2.0,0.67,0.33,418.7,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.67
0_125,7,0,2.0,66.0,2.0,8.0,0,28,1,2,4.0,0.2,0.8,16.0,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.33
0_126,105,2,4.0,42.0,14.0,2.0,0,265,1,3,3.0,0.88,0.12,155.1,303,10088.0,65.8,66454.0,17024.0,26384,3.0,1.0
0_128,80,24,44.0,154.0,304.0,92.0,0,46,1,97,2.0,0.77,0.23,57.0,303,10088.0,65.8,66454.0,17024.0,26384,3.0,0.67
